timetable,day,slot,start_time,room,subject_code,subject_name,faculty,slots_occupied
T2,3,5,13:00,R1,1234,S1,F1,1
T2,0,1,09:00,R1,1234,S1,F1,1
T2,0,7,15:00,R1,1234,S1,F1,1
T2,3,1,09:00,R1,1234,S1,F1,1
T2,0,2,10:00,R1,1234,S1,F1,1
T2,2,1,09:00,R1,567,S2,F2,1
T2,4,3,11:00,R1,567,S2,F2,1
T2,1,3,11:00,R1,567,S2,F2,1
T2,2,1,09:00,R2,890,S3,F3,1
T2,4,0,08:00,R1,890,S3,F3,1
T2,3,4,12:00,R1,890,S3,F3,1
T2,0,0,08:00,R1,890,S3,F3,1
T2,2,3,11:00,R1,235,S4,F4,1
T2,4,1,09:00,R1,235,S4,F4,1
T2,4,6,14:00,R1,235,S4,F4,1
T2,2,2,10:00,R1,235,S4,F4,1
T2,2,4,12:00,R1,235,S4,F4,1
