timetable,day,slot,start_time,room,subject_code,subject_name,faculty,slots_occupied
T3,2,4,12:00,R1,1234,S1,F1,1
T3,2,1,09:00,R1,1234,S1,F1,1
T3,1,2,10:00,R1,1234,S1,F1,1
T3,3,5,13:00,R1,1234,S1,F1,1
T3,3,3,11:00,R1,1234,S1,F1,1
T3,1,3,11:00,R1,567,S2,F2,1
T3,1,6,14:00,R1,567,S2,F2,1
T3,1,4,12:00,R1,567,S2,F2,1
T3,4,4,12:00,R1,890,S3,F3,1
T3,1,6,14:00,R2,890,S3,F3,1
T3,0,1,09:00,R1,890,S3,F3,1
T3,3,6,14:00,R1,890,S3,F3,1
T3,1,2,10:00,R2,235,S4,F4,1
T3,1,0,08:00,R1,235,S4,F4,1
T3,2,0,08:00,R1,235,S4,F4,1
T3,1,1,09:00,R1,235,S4,F4,1
T3,4,0,08:00,R1,235,S4,F4,1
